REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,1211
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,3948
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,5228
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590010305,6.3.1.1,7106
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,206
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,122
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,125
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,165
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,229
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,178
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590010989,6.5.1.1,175
2017/2018,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1196
2018/2019,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1180
2019/2020,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1166
2020/2021,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1152
2021/2022,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1129
2022/2023,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1106
2023/2024,"Saint John (CMA), New Brunswick",2021S0503310,Births,Total - gender,All ages,Persons,249,units,0,v1590013047,7.1.1.1,1120
2017/2018,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1269
2018/2019,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1346
2019/2020,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1333
2020/2021,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1314
2021/2022,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1488
2022/2023,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1549
2023/2024,"Saint John (CMA), New Brunswick",2021S0503310,Deaths,Total - gender,All ages,Persons,249,units,0,v1590013389,7.2.1.1,1596
2017/2018,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,784
2018/2019,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,892
2019/2020,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,892
2020/2021,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,370
2021/2022,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,1200
2022/2023,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,1736
2023/2024,"Saint John (CMA), New Brunswick",2021S0503310,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590013731,7.3.1.1,2425
2017/2018,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,182
2018/2019,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,127
2019/2020,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,58
2020/2021,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,87
2021/2022,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,88
2022/2023,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,164
2023/2024,"Saint John (CMA), New Brunswick",2021S0503310,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590014415,7.5.1.1,173
2017/2018,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,1017
2018/2019,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,956
2019/2020,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,981
2020/2021,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,990
2021/2022,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,976
2022/2023,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,961
2023/2024,"Fredericton (CMA), New Brunswick",2021S0503320,Births,Total - gender,All ages,Persons,249,units,0,v1590016473,8.1.1.1,973
